quarter,level_1,level_2,value
2011-Q1,Investment On Buildings (Forecast - Next 12 Months),Biomedical Manufacturing,1
2011-Q1,Investment On Buildings (Forecast - Next 12 Months),Precision Engineering,6
2011-Q1,Investment On Buildings (Forecast - Next 12 Months),Transport Engineering,-3
2011-Q1,Investment On Buildings (Forecast - Next 12 Months),General Manufacturing Industries,14
2011-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),Electronics,33
2011-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),Chemicals,17
2011-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),Biomedical Manufacturing,-25
2011-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),Precision Engineering,18
2011-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),Transport Engineering,38
2011-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),General Manufacturing Industries,9
2011-Q2,General Business Expectations (Forecast For Next 6 Months),Electronics,14
2011-Q2,General Business Expectations (Forecast For Next 6 Months),Chemicals,7
2011-Q2,General Business Expectations (Forecast For Next 6 Months),Biomedical Manufacturing,2
2011-Q2,General Business Expectations (Forecast For Next 6 Months),Precision Engineering,4
2011-Q2,General Business Expectations (Forecast For Next 6 Months),Transport Engineering,24
2011-Q2,General Business Expectations (Forecast For Next 6 Months),General Manufacturing Industries,19
2011-Q2,Numbers Employed (Forecast For Next Quarter),Electronics,4
2011-Q2,Numbers Employed (Forecast For Next Quarter),Chemicals,3
2011-Q2,Numbers Employed (Forecast For Next Quarter),Biomedical Manufacturing,3
2011-Q2,Numbers Employed (Forecast For Next Quarter),Precision Engineering,7
2011-Q2,Numbers Employed (Forecast For Next Quarter),Transport Engineering,32
2011-Q2,Numbers Employed (Forecast For Next Quarter),General Manufacturing Industries,8
2011-Q2,Overtime (Forecast For Next Quarter),Electronics,7
2011-Q2,Overtime (Forecast For Next Quarter),Chemicals,-16
2011-Q2,Overtime (Forecast For Next Quarter),Biomedical Manufacturing,-13
2011-Q2,Overtime (Forecast For Next Quarter),Precision Engineering,-7
2011-Q2,Overtime (Forecast For Next Quarter),Transport Engineering,5
2011-Q2,Overtime (Forecast For Next Quarter),General Manufacturing Industries,10
2011-Q2,Output (Forecast For Next Quarter),Biomedical Manufacturing,8
2011-Q2,Output (Forecast For Next Quarter),Precision Engineering,9
2011-Q2,Output (Forecast For Next Quarter),Transport Engineering,20
2011-Q2,Output (Forecast For Next Quarter),General Manufacturing Industries,26
2011-Q2,Total New Orders Received (Forecast For Next Quarter),Electronics,14
2011-Q2,Total New Orders Received (Forecast For Next Quarter),Chemicals,-6
2011-Q2,Total New Orders Received (Forecast For Next Quarter),Biomedical Manufacturing,7
2011-Q2,Total New Orders Received (Forecast For Next Quarter),Precision Engineering,5
2011-Q2,Total New Orders Received (Forecast For Next Quarter),Transport Engineering,17
2011-Q2,Total New Orders Received (Forecast For Next Quarter),General Manufacturing Industries,25
2011-Q2,Domestic Orders (Forecast For Next Quarter),Electronics,2
2011-Q2,Domestic Orders (Forecast For Next Quarter),Chemicals,-8
2011-Q2,Domestic Orders (Forecast For Next Quarter),Biomedical Manufacturing,-7
2011-Q2,Domestic Orders (Forecast For Next Quarter),Precision Engineering,4
2011-Q2,Domestic Orders (Forecast For Next Quarter),Transport Engineering,7
2011-Q2,Domestic Orders (Forecast For Next Quarter),General Manufacturing Industries,19
2011-Q2,Export Orders (Forecast For Next Quarter),Electronics,14
2011-Q2,Export Orders (Forecast For Next Quarter),Chemicals,-6
2011-Q2,Export Orders (Forecast For Next Quarter),Biomedical Manufacturing,7
2011-Q2,Export Orders (Forecast For Next Quarter),Precision Engineering,-1
2011-Q2,Export Orders (Forecast For Next Quarter),Transport Engineering,29
2011-Q2,Export Orders (Forecast For Next Quarter),General Manufacturing Industries,14
2011-Q2,Deliveries In Singapore (Forecast For Next Quarter),Electronics,2
2011-Q2,Deliveries In Singapore (Forecast For Next Quarter),Chemicals,-9
2011-Q2,Deliveries In Singapore (Forecast For Next Quarter),Biomedical Manufacturing,-7
2011-Q2,Deliveries In Singapore (Forecast For Next Quarter),Precision Engineering,5
2011-Q2,Deliveries In Singapore (Forecast For Next Quarter),Transport Engineering,7
2011-Q2,Deliveries In Singapore (Forecast For Next Quarter),General Manufacturing Industries,19
2011-Q2,Deliveries Overseas (Forecast For Next Quarter),Electronics,9
2011-Q2,Deliveries Overseas (Forecast For Next Quarter),Chemicals,1
2011-Q2,Deliveries Overseas (Forecast For Next Quarter),Biomedical Manufacturing,7
2011-Q2,Deliveries Overseas (Forecast For Next Quarter),Precision Engineering,-1
2011-Q2,Deliveries Overseas (Forecast For Next Quarter),Transport Engineering,14
2011-Q2,Deliveries Overseas (Forecast For Next Quarter),General Manufacturing Industries,15
2011-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),Electronics,-1
2011-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),Chemicals,3
2011-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),Biomedical Manufacturing,-28
2011-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),Precision Engineering,1
2011-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),Transport Engineering,19
2011-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),General Manufacturing Industries,3
2011-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),Electronics,-2
2011-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),Chemicals,-5
2011-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),Biomedical Manufacturing,-3
2011-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),Precision Engineering,-6
2011-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),Transport Engineering,18
2011-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),General Manufacturing Industries,-3
2011-Q2,Average Selling Prices (Forecast For Next Quarter),Electronics,-20
2011-Q2,Average Selling Prices (Forecast For Next Quarter),Chemicals,8
2011-Q2,Average Selling Prices (Forecast For Next Quarter),Biomedical Manufacturing,-18
2011-Q2,Average Selling Prices (Forecast For Next Quarter),Precision Engineering,-12
2011-Q2,Average Selling Prices (Forecast For Next Quarter),Transport Engineering,8
2011-Q2,Average Selling Prices (Forecast For Next Quarter),General Manufacturing Industries,-6
2011-Q2,Investment On Buildings (Forecast - Next 12 Months),Electronics,-
2011-Q2,Investment On Buildings (Forecast - Next 12 Months),Chemicals,-
2011-Q2,Investment On Buildings (Forecast - Next 12 Months),Biomedical Manufacturing,-
2011-Q2,Investment On Buildings (Forecast - Next 12 Months),Precision Engineering,-
2011-Q2,Investment On Buildings (Forecast - Next 12 Months),Transport Engineering,-
2011-Q2,Investment On Buildings (Forecast - Next 12 Months),General Manufacturing Industries,-
2011-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),Electronics,-
2011-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),Chemicals,-
2011-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),Biomedical Manufacturing,-
2011-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),Precision Engineering,-
2011-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),Transport Engineering,-
2011-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),General Manufacturing Industries,-
2011-Q3,General Business Expectations (Forecast For Next 6 Months),Electronics,-20
2011-Q3,General Business Expectations (Forecast For Next 6 Months),Chemicals,-5
2011-Q3,General Business Expectations (Forecast For Next 6 Months),Biomedical Manufacturing,-5
2011-Q3,General Business Expectations (Forecast For Next 6 Months),Precision Engineering,-19
2011-Q3,General Business Expectations (Forecast For Next 6 Months),Transport Engineering,-2
2011-Q3,General Business Expectations (Forecast For Next 6 Months),General Manufacturing Industries,-2
2011-Q3,Numbers Employed (Forecast For Next Quarter),Electronics,-7
2011-Q3,Numbers Employed (Forecast For Next Quarter),Chemicals,1
2011-Q3,Numbers Employed (Forecast For Next Quarter),Biomedical Manufacturing,1
2011-Q3,Numbers Employed (Forecast For Next Quarter),Precision Engineering,-9
2011-Q3,Numbers Employed (Forecast For Next Quarter),Transport Engineering,10
2011-Q3,Numbers Employed (Forecast For Next Quarter),General Manufacturing Industries,-11
2011-Q3,Overtime (Forecast For Next Quarter),Electronics,-20
2011-Q3,Overtime (Forecast For Next Quarter),Chemicals,7
2011-Q3,Overtime (Forecast For Next Quarter),Biomedical Manufacturing,-6
2011-Q3,Overtime (Forecast For Next Quarter),Precision Engineering,-31
2011-Q3,Overtime (Forecast For Next Quarter),Transport Engineering,9
2011-Q3,Overtime (Forecast For Next Quarter),General Manufacturing Industries,-14
2011-Q3,Output (Forecast For Next Quarter),Electronics,-19
2011-Q3,Output (Forecast For Next Quarter),Chemicals,-11
2011-Q3,Output (Forecast For Next Quarter),Biomedical Manufacturing,-51
2011-Q3,Output (Forecast For Next Quarter),Precision Engineering,-25
2011-Q3,Output (Forecast For Next Quarter),Transport Engineering,12
2011-Q3,Output (Forecast For Next Quarter),General Manufacturing Industries,-6
2011-Q3,Total New Orders Received (Forecast For Next Quarter),Electronics,-21
2011-Q3,Total New Orders Received (Forecast For Next Quarter),Chemicals,-11
2011-Q3,Total New Orders Received (Forecast For Next Quarter),Biomedical Manufacturing,-10
2011-Q3,Total New Orders Received (Forecast For Next Quarter),Precision Engineering,-31
2011-Q3,Total New Orders Received (Forecast For Next Quarter),Transport Engineering,7
2011-Q3,Total New Orders Received (Forecast For Next Quarter),General Manufacturing Industries,-4
2011-Q3,Domestic Orders (Forecast For Next Quarter),Electronics,-10
2011-Q3,Domestic Orders (Forecast For Next Quarter),Chemicals,-9
2011-Q3,Domestic Orders (Forecast For Next Quarter),Biomedical Manufacturing,-11
2011-Q3,Domestic Orders (Forecast For Next Quarter),Precision Engineering,-29
2011-Q3,Domestic Orders (Forecast For Next Quarter),Transport Engineering,-2
2011-Q3,Domestic Orders (Forecast For Next Quarter),General Manufacturing Industries,0
2011-Q3,Export Orders (Forecast For Next Quarter),Electronics,-21
2011-Q3,Export Orders (Forecast For Next Quarter),Chemicals,-10
2011-Q3,Export Orders (Forecast For Next Quarter),Biomedical Manufacturing,-10
2011-Q3,Export Orders (Forecast For Next Quarter),Precision Engineering,-29
2011-Q3,Export Orders (Forecast For Next Quarter),Transport Engineering,26
2011-Q3,Export Orders (Forecast For Next Quarter),General Manufacturing Industries,-3
2011-Q3,Deliveries In Singapore (Forecast For Next Quarter),Electronics,-12
2011-Q3,Deliveries In Singapore (Forecast For Next Quarter),Chemicals,4
2011-Q3,Deliveries In Singapore (Forecast For Next Quarter),Biomedical Manufacturing,-11
2011-Q3,Deliveries In Singapore (Forecast For Next Quarter),Precision Engineering,-24
2011-Q3,Deliveries In Singapore (Forecast For Next Quarter),Transport Engineering,1
2011-Q3,Deliveries In Singapore (Forecast For Next Quarter),General Manufacturing Industries,-3
2011-Q3,Deliveries Overseas (Forecast For Next Quarter),Electronics,-21
2011-Q3,Deliveries Overseas (Forecast For Next Quarter),Chemicals,-10
2011-Q3,Deliveries Overseas (Forecast For Next Quarter),Biomedical Manufacturing,-9
2011-Q3,Deliveries Overseas (Forecast For Next Quarter),Precision Engineering,-28
2011-Q3,Deliveries Overseas (Forecast For Next Quarter),Transport Engineering,11
2011-Q3,Deliveries Overseas (Forecast For Next Quarter),General Manufacturing Industries,-9
2011-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),Electronics,-21
2011-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),Chemicals,-13
2011-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),Biomedical Manufacturing,17
2011-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),Precision Engineering,-13
2011-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),Transport Engineering,9
2011-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),General Manufacturing Industries,-17
2011-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),Electronics,-12
2011-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),Chemicals,-8
2011-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),Biomedical Manufacturing,-54
2011-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),Precision Engineering,-17
2011-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),Transport Engineering,3
2011-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),General Manufacturing Industries,-18
2011-Q3,Average Selling Prices (Forecast For Next Quarter),Electronics,-30
2011-Q3,Average Selling Prices (Forecast For Next Quarter),Chemicals,8
2011-Q3,Average Selling Prices (Forecast For Next Quarter),Biomedical Manufacturing,-1
2011-Q3,Average Selling Prices (Forecast For Next Quarter),Precision Engineering,-20
2011-Q3,Average Selling Prices (Forecast For Next Quarter),Transport Engineering,-13
2011-Q3,Average Selling Prices (Forecast For Next Quarter),General Manufacturing Industries,-8
2011-Q3,Investment On Buildings (Forecast - Next 12 Months),Electronics,-
2011-Q3,Investment On Buildings (Forecast - Next 12 Months),Chemicals,-
2011-Q3,Investment On Buildings (Forecast - Next 12 Months),Biomedical Manufacturing,-
2011-Q3,Investment On Buildings (Forecast - Next 12 Months),Precision Engineering,-
2011-Q3,Investment On Buildings (Forecast - Next 12 Months),Transport Engineering,-
2011-Q3,Investment On Buildings (Forecast - Next 12 Months),General Manufacturing Industries,-
2011-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),Electronics,-
2011-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),Chemicals,-
2011-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),Biomedical Manufacturing,-
2011-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),Precision Engineering,-
2011-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),Transport Engineering,-
2011-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),General Manufacturing Industries,-
2011-Q4,General Business Expectations (Forecast For Next 6 Months),Electronics,-22
2011-Q4,General Business Expectations (Forecast For Next 6 Months),Chemicals,-5
2011-Q4,General Business Expectations (Forecast For Next 6 Months),Biomedical Manufacturing,-2
2011-Q4,General Business Expectations (Forecast For Next 6 Months),Precision Engineering,-13
2011-Q4,General Business Expectations (Forecast For Next 6 Months),Transport Engineering,-11
2011-Q4,General Business Expectations (Forecast For Next 6 Months),General Manufacturing Industries,-3
2011-Q4,Numbers Employed (Forecast For Next Quarter),Electronics,-12
2011-Q4,Numbers Employed (Forecast For Next Quarter),Chemicals,3
2011-Q4,Numbers Employed (Forecast For Next Quarter),Biomedical Manufacturing,1
2011-Q4,Numbers Employed (Forecast For Next Quarter),Precision Engineering,-13
2011-Q4,Numbers Employed (Forecast For Next Quarter),Transport Engineering,8
2011-Q4,Numbers Employed (Forecast For Next Quarter),General Manufacturing Industries,8
2011-Q4,Overtime (Forecast For Next Quarter),Electronics,-18
2011-Q4,Overtime (Forecast For Next Quarter),Chemicals,3
2011-Q4,Overtime (Forecast For Next Quarter),Biomedical Manufacturing,23
2011-Q4,Overtime (Forecast For Next Quarter),Precision Engineering,-19
2011-Q4,Overtime (Forecast For Next Quarter),Transport Engineering,2
2011-Q4,Overtime (Forecast For Next Quarter),General Manufacturing Industries,-10
2011-Q4,Output (Forecast For Next Quarter),Electronics,-30
2011-Q4,Output (Forecast For Next Quarter),Chemicals,13
2011-Q4,Output (Forecast For Next Quarter),Biomedical Manufacturing,1
2011-Q4,Output (Forecast For Next Quarter),Precision Engineering,-12
2011-Q4,Output (Forecast For Next Quarter),Transport Engineering,4
2011-Q4,Output (Forecast For Next Quarter),General Manufacturing Industries,-2
2011-Q4,Total New Orders Received (Forecast For Next Quarter),Electronics,-30
2011-Q4,Total New Orders Received (Forecast For Next Quarter),Chemicals,17
2011-Q4,Total New Orders Received (Forecast For Next Quarter),Biomedical Manufacturing,14
2011-Q4,Total New Orders Received (Forecast For Next Quarter),Precision Engineering,-16
2011-Q4,Total New Orders Received (Forecast For Next Quarter),Transport Engineering,-13
2011-Q4,Total New Orders Received (Forecast For Next Quarter),General Manufacturing Industries,-2
2011-Q4,Domestic Orders (Forecast For Next Quarter),Electronics,-20
2011-Q4,Domestic Orders (Forecast For Next Quarter),Chemicals,2
2011-Q4,Domestic Orders (Forecast For Next Quarter),Biomedical Manufacturing,8
2011-Q4,Domestic Orders (Forecast For Next Quarter),Precision Engineering,-18
2011-Q4,Domestic Orders (Forecast For Next Quarter),Transport Engineering,-3
2011-Q4,Domestic Orders (Forecast For Next Quarter),General Manufacturing Industries,-3
2011-Q4,Export Orders (Forecast For Next Quarter),Electronics,-30
2011-Q4,Export Orders (Forecast For Next Quarter),Chemicals,17
2011-Q4,Export Orders (Forecast For Next Quarter),Biomedical Manufacturing,10
2011-Q4,Export Orders (Forecast For Next Quarter),Precision Engineering,-14
2011-Q4,Export Orders (Forecast For Next Quarter),Transport Engineering,-12
2011-Q4,Export Orders (Forecast For Next Quarter),General Manufacturing Industries,-5
2011-Q4,Deliveries In Singapore (Forecast For Next Quarter),Electronics,-22
2011-Q4,Deliveries In Singapore (Forecast For Next Quarter),Chemicals,3
2011-Q4,Deliveries In Singapore (Forecast For Next Quarter),Biomedical Manufacturing,7
2011-Q4,Deliveries In Singapore (Forecast For Next Quarter),Precision Engineering,-13
2011-Q4,Deliveries In Singapore (Forecast For Next Quarter),Transport Engineering,-9
2011-Q4,Deliveries In Singapore (Forecast For Next Quarter),General Manufacturing Industries,-1
2011-Q4,Deliveries Overseas (Forecast For Next Quarter),Electronics,-27
2011-Q4,Deliveries Overseas (Forecast For Next Quarter),Chemicals,16
2011-Q4,Deliveries Overseas (Forecast For Next Quarter),Biomedical Manufacturing,33
2011-Q4,Deliveries Overseas (Forecast For Next Quarter),Precision Engineering,-13
2011-Q4,Deliveries Overseas (Forecast For Next Quarter),Transport Engineering,-10
2011-Q4,Deliveries Overseas (Forecast For Next Quarter),General Manufacturing Industries,-7
2011-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),Electronics,-12
2011-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),Chemicals,-11
2011-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),Biomedical Manufacturing,40
2011-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),Precision Engineering,-12
2011-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),Transport Engineering,6
2011-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),General Manufacturing Industries,-10
2011-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),Electronics,-7
2011-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),Chemicals,-17
2011-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),Biomedical Manufacturing,18
2011-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),Precision Engineering,-9
2011-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),Transport Engineering,-6
2011-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),General Manufacturing Industries,-4
2011-Q4,Average Selling Prices (Forecast For Next Quarter),Electronics,-27
2011-Q4,Average Selling Prices (Forecast For Next Quarter),Chemicals,-15
2011-Q4,Average Selling Prices (Forecast For Next Quarter),Biomedical Manufacturing,-31
2011-Q4,Average Selling Prices (Forecast For Next Quarter),Precision Engineering,-10
2011-Q4,Average Selling Prices (Forecast For Next Quarter),Transport Engineering,2
2011-Q4,Average Selling Prices (Forecast For Next Quarter),General Manufacturing Industries,-1
2011-Q4,Investment On Buildings (Forecast - Next 12 Months),Electronics,-
2011-Q4,Investment On Buildings (Forecast - Next 12 Months),Chemicals,-
2011-Q4,Investment On Buildings (Forecast - Next 12 Months),Biomedical Manufacturing,-
2011-Q4,Investment On Buildings (Forecast - Next 12 Months),Precision Engineering,-
2011-Q4,Investment On Buildings (Forecast - Next 12 Months),Transport Engineering,-
2011-Q4,Investment On Buildings (Forecast - Next 12 Months),General Manufacturing Industries,-
2011-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),Electronics,-
2011-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),Chemicals,-
2011-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),Biomedical Manufacturing,-
2011-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),Precision Engineering,-
2011-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),Transport Engineering,-
2011-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),General Manufacturing Industries,-
2012-Q1,General Business Expectations (Forecast For Next 6 Months),Electronics,30
2012-Q1,General Business Expectations (Forecast For Next 6 Months),Chemicals,9
2012-Q1,General Business Expectations (Forecast For Next 6 Months),Biomedical Manufacturing,6
2012-Q1,General Business Expectations (Forecast For Next 6 Months),Precision Engineering,9
2012-Q1,General Business Expectations (Forecast For Next 6 Months),Transport Engineering,4
2012-Q1,General Business Expectations (Forecast For Next 6 Months),General Manufacturing Industries,19
2012-Q1,Numbers Employed (Forecast For Next Quarter),Electronics,3
2012-Q1,Numbers Employed (Forecast For Next Quarter),Chemicals,6
2012-Q1,Numbers Employed (Forecast For Next Quarter),Biomedical Manufacturing,6
2012-Q1,Numbers Employed (Forecast For Next Quarter),Precision Engineering,2
2012-Q1,Numbers Employed (Forecast For Next Quarter),Transport Engineering,20
2012-Q1,Numbers Employed (Forecast For Next Quarter),General Manufacturing Industries,12
2012-Q1,Overtime (Forecast For Next Quarter),Electronics,6
2012-Q1,Overtime (Forecast For Next Quarter),Chemicals,-3
2012-Q1,Overtime (Forecast For Next Quarter),Biomedical Manufacturing,12
2012-Q1,Overtime (Forecast For Next Quarter),Precision Engineering,-2
2012-Q1,Overtime (Forecast For Next Quarter),Transport Engineering,11
2012-Q1,Overtime (Forecast For Next Quarter),General Manufacturing Industries,11
2012-Q1,Output (Forecast For Next Quarter),Electronics,29
2012-Q1,Output (Forecast For Next Quarter),Chemicals,11
2012-Q1,Output (Forecast For Next Quarter),Biomedical Manufacturing,41
2012-Q1,Output (Forecast For Next Quarter),Precision Engineering,12
2012-Q1,Output (Forecast For Next Quarter),Transport Engineering,18
2012-Q1,Output (Forecast For Next Quarter),General Manufacturing Industries,14
2012-Q1,Total New Orders Received (Forecast For Next Quarter),Electronics,27
2012-Q1,Total New Orders Received (Forecast For Next Quarter),Chemicals,2
2012-Q1,Total New Orders Received (Forecast For Next Quarter),Biomedical Manufacturing,-3
2012-Q1,Total New Orders Received (Forecast For Next Quarter),Precision Engineering,10
2012-Q1,Total New Orders Received (Forecast For Next Quarter),Transport Engineering,1
2012-Q1,Total New Orders Received (Forecast For Next Quarter),General Manufacturing Industries,17
2012-Q1,Domestic Orders (Forecast For Next Quarter),Electronics,9
2012-Q1,Domestic Orders (Forecast For Next Quarter),Chemicals,9
2012-Q1,Domestic Orders (Forecast For Next Quarter),Biomedical Manufacturing,12
2012-Q1,Domestic Orders (Forecast For Next Quarter),Precision Engineering,-1
2012-Q1,Domestic Orders (Forecast For Next Quarter),Transport Engineering,-2
2012-Q1,Domestic Orders (Forecast For Next Quarter),General Manufacturing Industries,10
2012-Q1,Export Orders (Forecast For Next Quarter),Electronics,28
2012-Q1,Export Orders (Forecast For Next Quarter),Chemicals,2
2012-Q1,Export Orders (Forecast For Next Quarter),Biomedical Manufacturing,-4
2012-Q1,Export Orders (Forecast For Next Quarter),Precision Engineering,10
2012-Q1,Export Orders (Forecast For Next Quarter),Transport Engineering,4
2012-Q1,Export Orders (Forecast For Next Quarter),General Manufacturing Industries,4
2012-Q1,Deliveries In Singapore (Forecast For Next Quarter),Electronics,9
2012-Q1,Deliveries In Singapore (Forecast For Next Quarter),Chemicals,8
2012-Q1,Deliveries In Singapore (Forecast For Next Quarter),Biomedical Manufacturing,11
2012-Q1,Deliveries In Singapore (Forecast For Next Quarter),Precision Engineering,1
2012-Q1,Deliveries In Singapore (Forecast For Next Quarter),Transport Engineering,2
2012-Q1,Deliveries In Singapore (Forecast For Next Quarter),General Manufacturing Industries,4
2012-Q1,Deliveries Overseas (Forecast For Next Quarter),Electronics,27
2012-Q1,Deliveries Overseas (Forecast For Next Quarter),Chemicals,0
2012-Q1,Deliveries Overseas (Forecast For Next Quarter),Biomedical Manufacturing,31
2012-Q1,Deliveries Overseas (Forecast For Next Quarter),Precision Engineering,11
2012-Q1,Deliveries Overseas (Forecast For Next Quarter),Transport Engineering,19
2012-Q1,Deliveries Overseas (Forecast For Next Quarter),General Manufacturing Industries,6
2012-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),Electronics,11
2012-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),Chemicals,-6
2012-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),Biomedical Manufacturing,7
2012-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),Precision Engineering,-4
2012-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),Transport Engineering,18
2012-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),General Manufacturing Industries,5
2012-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),Electronics,10
2012-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),Chemicals,-7
2012-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),Biomedical Manufacturing,45
2012-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),Precision Engineering,-7
2012-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),Transport Engineering,-5
2012-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),General Manufacturing Industries,9
2012-Q1,Average Selling Prices (Forecast For Next Quarter),Electronics,-10
2012-Q1,Average Selling Prices (Forecast For Next Quarter),Chemicals,13
2012-Q1,Average Selling Prices (Forecast For Next Quarter),Biomedical Manufacturing,1
2012-Q1,Average Selling Prices (Forecast For Next Quarter),Precision Engineering,-12
2012-Q1,Average Selling Prices (Forecast For Next Quarter),Transport Engineering,-9
2012-Q1,Average Selling Prices (Forecast For Next Quarter),General Manufacturing Industries,1
2012-Q1,Investment On Buildings (Forecast - Next 12 Months),Electronics,9
2012-Q1,Investment On Buildings (Forecast - Next 12 Months),Chemicals,23
2012-Q1,Investment On Buildings (Forecast - Next 12 Months),Biomedical Manufacturing,9
2012-Q1,Investment On Buildings (Forecast - Next 12 Months),Precision Engineering,13
2012-Q1,Investment On Buildings (Forecast - Next 12 Months),Transport Engineering,19
2012-Q1,Investment On Buildings (Forecast - Next 12 Months),General Manufacturing Industries,10
2012-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),Electronics,-7
2012-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),Chemicals,48
2012-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),Biomedical Manufacturing,-1
2012-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),Precision Engineering,8
2012-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),Transport Engineering,34
2012-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),General Manufacturing Industries,9
2012-Q2,General Business Expectations (Forecast For Next 6 Months),Electronics,5
2012-Q2,General Business Expectations (Forecast For Next 6 Months),Chemicals,-1
2012-Q2,General Business Expectations (Forecast For Next 6 Months),Biomedical Manufacturing,4
2012-Q2,General Business Expectations (Forecast For Next 6 Months),Precision Engineering,-16
2012-Q2,General Business Expectations (Forecast For Next 6 Months),Transport Engineering,-1
2012-Q2,General Business Expectations (Forecast For Next 6 Months),General Manufacturing Industries,15
2012-Q2,Numbers Employed (Forecast For Next Quarter),Electronics,1
2012-Q2,Numbers Employed (Forecast For Next Quarter),Chemicals,-2
2012-Q2,Numbers Employed (Forecast For Next Quarter),Biomedical Manufacturing,-8
2012-Q2,Numbers Employed (Forecast For Next Quarter),Precision Engineering,-4
2012-Q2,Numbers Employed (Forecast For Next Quarter),Transport Engineering,19
2012-Q2,Numbers Employed (Forecast For Next Quarter),General Manufacturing Industries,14
2012-Q2,Overtime (Forecast For Next Quarter),Electronics,-4
2012-Q2,Overtime (Forecast For Next Quarter),Chemicals,-1
2012-Q2,Overtime (Forecast For Next Quarter),Biomedical Manufacturing,5
