quarter,level_1,value
1978-Q1,Average Selling Prices (Forecast For Next Quarter),6
1978-Q1,Investment On Buildings (Forecast - Next 12 Months),14
1978-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),20
1978-Q2,General Business Expectations (Forecast For Next 6 Months),44
1978-Q2,Numbers Employed (Forecast For Next Quarter),45
1978-Q2,Overtime (Forecast For Next Quarter),22
1978-Q2,Output (Forecast For Next Quarter),47
1978-Q2,Total New Orders Received (Forecast For Next Quarter),44
1978-Q2,Domestic Orders (Forecast For Next Quarter),8
1978-Q2,Export Orders (Forecast For Next Quarter),38
1978-Q2,Deliveries In Singapore (Forecast For Next Quarter),11
1978-Q2,Deliveries Overseas (Forecast For Next Quarter),44
1978-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),18
1978-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),3
1978-Q2,Average Selling Prices (Forecast For Next Quarter),3
1978-Q2,Investment On Buildings (Forecast - Next 12 Months),17
1978-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),25
1978-Q3,General Business Expectations (Forecast For Next 6 Months),35
1978-Q3,Numbers Employed (Forecast For Next Quarter),40
1978-Q3,Overtime (Forecast For Next Quarter),19
1978-Q3,Output (Forecast For Next Quarter),44
1978-Q3,Total New Orders Received (Forecast For Next Quarter),35
1978-Q3,Domestic Orders (Forecast For Next Quarter),17
1978-Q3,Export Orders (Forecast For Next Quarter),26
1978-Q3,Deliveries In Singapore (Forecast For Next Quarter),20
1978-Q3,Deliveries Overseas (Forecast For Next Quarter),35
1978-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),12
1978-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),-1
1978-Q3,Average Selling Prices (Forecast For Next Quarter),11
1978-Q3,Investment On Buildings (Forecast - Next 12 Months),16
1978-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),22
1978-Q4,General Business Expectations (Forecast For Next 6 Months),22
1978-Q4,Numbers Employed (Forecast For Next Quarter),28
1978-Q4,Overtime (Forecast For Next Quarter),-7
1978-Q4,Output (Forecast For Next Quarter),-1
1978-Q4,Total New Orders Received (Forecast For Next Quarter),14
1978-Q4,Domestic Orders (Forecast For Next Quarter),-1
1978-Q4,Export Orders (Forecast For Next Quarter),12
1978-Q4,Deliveries In Singapore (Forecast For Next Quarter),-3
1978-Q4,Deliveries Overseas (Forecast For Next Quarter),8
1978-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),8
1978-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),-5
1978-Q4,Average Selling Prices (Forecast For Next Quarter),17
1978-Q4,Investment On Buildings (Forecast - Next 12 Months),11
1978-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),14
1979-Q1,General Business Expectations (Forecast For Next 6 Months),37
1979-Q1,Numbers Employed (Forecast For Next Quarter),46
1979-Q1,Overtime (Forecast For Next Quarter),16
1979-Q1,Output (Forecast For Next Quarter),47
1979-Q1,Total New Orders Received (Forecast For Next Quarter),41
1979-Q1,Domestic Orders (Forecast For Next Quarter),16
1979-Q1,Export Orders (Forecast For Next Quarter),36
1979-Q1,Deliveries In Singapore (Forecast For Next Quarter),19
1979-Q1,Deliveries Overseas (Forecast For Next Quarter),41
1979-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),11
1979-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),9
1979-Q1,Average Selling Prices (Forecast For Next Quarter),18
1979-Q1,Investment On Buildings (Forecast - Next 12 Months),19
1979-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),30
1979-Q2,General Business Expectations (Forecast For Next 6 Months),31
1979-Q2,Numbers Employed (Forecast For Next Quarter),33
1979-Q2,Overtime (Forecast For Next Quarter),15
1979-Q2,Output (Forecast For Next Quarter),31
1979-Q2,Total New Orders Received (Forecast For Next Quarter),26
1979-Q2,Domestic Orders (Forecast For Next Quarter),11
1979-Q2,Export Orders (Forecast For Next Quarter),22
1979-Q2,Deliveries In Singapore (Forecast For Next Quarter),12
1979-Q2,Deliveries Overseas (Forecast For Next Quarter),27
1979-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),3
1979-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),9
1979-Q2,Average Selling Prices (Forecast For Next Quarter),21
1979-Q2,Investment On Buildings (Forecast - Next 12 Months),24
1979-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),32
1979-Q3,General Business Expectations (Forecast For Next 6 Months),26
1979-Q3,Numbers Employed (Forecast For Next Quarter),30
1979-Q3,Overtime (Forecast For Next Quarter),2
1979-Q3,Output (Forecast For Next Quarter),27
1979-Q3,Total New Orders Received (Forecast For Next Quarter),22
1979-Q3,Domestic Orders (Forecast For Next Quarter),11
1979-Q3,Export Orders (Forecast For Next Quarter),18
1979-Q3,Deliveries In Singapore (Forecast For Next Quarter),14
1979-Q3,Deliveries Overseas (Forecast For Next Quarter),20
1979-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),8
1979-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),3
1979-Q3,Average Selling Prices (Forecast For Next Quarter),13
1979-Q3,Investment On Buildings (Forecast - Next 12 Months),21
1979-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),22
1979-Q4,General Business Expectations (Forecast For Next 6 Months),25
1979-Q4,Numbers Employed (Forecast For Next Quarter),18
1979-Q4,Overtime (Forecast For Next Quarter),-6
1979-Q4,Output (Forecast For Next Quarter),21
1979-Q4,Total New Orders Received (Forecast For Next Quarter),18
1979-Q4,Domestic Orders (Forecast For Next Quarter),1
1979-Q4,Export Orders (Forecast For Next Quarter),20
1979-Q4,Deliveries In Singapore (Forecast For Next Quarter),-1
1979-Q4,Deliveries Overseas (Forecast For Next Quarter),15
1979-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),16
1979-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),9
1979-Q4,Average Selling Prices (Forecast For Next Quarter),16
1979-Q4,Investment On Buildings (Forecast - Next 12 Months),22
1979-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),31
1980-Q1,General Business Expectations (Forecast For Next 6 Months),39
1980-Q1,Numbers Employed (Forecast For Next Quarter),40
1980-Q1,Overtime (Forecast For Next Quarter),9
1980-Q1,Output (Forecast For Next Quarter),52
1980-Q1,Total New Orders Received (Forecast For Next Quarter),37
1980-Q1,Domestic Orders (Forecast For Next Quarter),20
1980-Q1,Export Orders (Forecast For Next Quarter),33
1980-Q1,Deliveries In Singapore (Forecast For Next Quarter),23
1980-Q1,Deliveries Overseas (Forecast For Next Quarter),42
1980-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),13
1980-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),13
1980-Q1,Average Selling Prices (Forecast For Next Quarter),18
1980-Q1,Investment On Buildings (Forecast - Next 12 Months),22
1980-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),29
1980-Q2,General Business Expectations (Forecast For Next 6 Months),25
1980-Q2,Numbers Employed (Forecast For Next Quarter),20
1980-Q2,Overtime (Forecast For Next Quarter),4
1980-Q2,Output (Forecast For Next Quarter),27
1980-Q2,Total New Orders Received (Forecast For Next Quarter),20
1980-Q2,Domestic Orders (Forecast For Next Quarter),11
1980-Q2,Export Orders (Forecast For Next Quarter),20
1980-Q2,Deliveries In Singapore (Forecast For Next Quarter),15
1980-Q2,Deliveries Overseas (Forecast For Next Quarter),18
1980-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),3
1980-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),0
1980-Q2,Average Selling Prices (Forecast For Next Quarter),10
1980-Q2,Investment On Buildings (Forecast - Next 12 Months),17
1980-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),23
1980-Q3,General Business Expectations (Forecast For Next 6 Months),26
1980-Q3,Numbers Employed (Forecast For Next Quarter),22
1980-Q3,Overtime (Forecast For Next Quarter),6
1980-Q3,Output (Forecast For Next Quarter),16
1980-Q3,Total New Orders Received (Forecast For Next Quarter),6
1980-Q3,Domestic Orders (Forecast For Next Quarter),11
1980-Q3,Export Orders (Forecast For Next Quarter),9
1980-Q3,Deliveries In Singapore (Forecast For Next Quarter),8
1980-Q3,Deliveries Overseas (Forecast For Next Quarter),7
1980-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),5
1980-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),11
1980-Q3,Average Selling Prices (Forecast For Next Quarter),14
1980-Q3,Investment On Buildings (Forecast - Next 12 Months),11
1980-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),26
1980-Q4,General Business Expectations (Forecast For Next 6 Months),20
1980-Q4,Numbers Employed (Forecast For Next Quarter),14
1980-Q4,Overtime (Forecast For Next Quarter),-6
1980-Q4,Output (Forecast For Next Quarter),-1
1980-Q4,Total New Orders Received (Forecast For Next Quarter),-1
1980-Q4,Domestic Orders (Forecast For Next Quarter),-2
1980-Q4,Export Orders (Forecast For Next Quarter),-2
1980-Q4,Deliveries In Singapore (Forecast For Next Quarter),0
1980-Q4,Deliveries Overseas (Forecast For Next Quarter),-2
1980-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),12
1980-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),-4
1980-Q4,Average Selling Prices (Forecast For Next Quarter),22
1980-Q4,Investment On Buildings (Forecast - Next 12 Months),17
1980-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),36
1981-Q1,General Business Expectations (Forecast For Next 6 Months),26
1981-Q1,Numbers Employed (Forecast For Next Quarter),27
1981-Q1,Overtime (Forecast For Next Quarter),19
1981-Q1,Output (Forecast For Next Quarter),35
1981-Q1,Total New Orders Received (Forecast For Next Quarter),16
1981-Q1,Domestic Orders (Forecast For Next Quarter),10
1981-Q1,Export Orders (Forecast For Next Quarter),15
1981-Q1,Deliveries In Singapore (Forecast For Next Quarter),10
1981-Q1,Deliveries Overseas (Forecast For Next Quarter),25
1981-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),6
1981-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),1
1981-Q1,Average Selling Prices (Forecast For Next Quarter),12
1981-Q1,Investment On Buildings (Forecast - Next 12 Months),18
1981-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),29
1981-Q2,General Business Expectations (Forecast For Next 6 Months),16
1981-Q2,Numbers Employed (Forecast For Next Quarter),19
1981-Q2,Overtime (Forecast For Next Quarter),4
1981-Q2,Output (Forecast For Next Quarter),14
1981-Q2,Total New Orders Received (Forecast For Next Quarter),12
1981-Q2,Domestic Orders (Forecast For Next Quarter),12
1981-Q2,Export Orders (Forecast For Next Quarter),8
1981-Q2,Deliveries In Singapore (Forecast For Next Quarter),7
1981-Q2,Deliveries Overseas (Forecast For Next Quarter),4
1981-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),5
1981-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),6
1981-Q2,Average Selling Prices (Forecast For Next Quarter),1
1981-Q2,Investment On Buildings (Forecast - Next 12 Months),8
1981-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),19
1981-Q3,General Business Expectations (Forecast For Next 6 Months),9
1981-Q3,Numbers Employed (Forecast For Next Quarter),11
1981-Q3,Overtime (Forecast For Next Quarter),-9
1981-Q3,Output (Forecast For Next Quarter),6
1981-Q3,Total New Orders Received (Forecast For Next Quarter),1
1981-Q3,Domestic Orders (Forecast For Next Quarter),-1
1981-Q3,Export Orders (Forecast For Next Quarter),0
1981-Q3,Deliveries In Singapore (Forecast For Next Quarter),-3
1981-Q3,Deliveries Overseas (Forecast For Next Quarter),1
1981-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),-7
1981-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),0
1981-Q3,Average Selling Prices (Forecast For Next Quarter),2
1981-Q3,Investment On Buildings (Forecast - Next 12 Months),11
1981-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),28
1981-Q4,General Business Expectations (Forecast For Next 6 Months),-11
1981-Q4,Numbers Employed (Forecast For Next Quarter),-10
1981-Q4,Overtime (Forecast For Next Quarter),-30
1981-Q4,Output (Forecast For Next Quarter),-18
1981-Q4,Total New Orders Received (Forecast For Next Quarter),-15
1981-Q4,Domestic Orders (Forecast For Next Quarter),-11
1981-Q4,Export Orders (Forecast For Next Quarter),-11
1981-Q4,Deliveries In Singapore (Forecast For Next Quarter),-10
1981-Q4,Deliveries Overseas (Forecast For Next Quarter),-21
1981-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),-11
1981-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),-11
1981-Q4,Average Selling Prices (Forecast For Next Quarter),-7
1981-Q4,Investment On Buildings (Forecast - Next 12 Months),13
1981-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),11
1982-Q1,General Business Expectations (Forecast For Next 6 Months),10
1982-Q1,Numbers Employed (Forecast For Next Quarter),-5
1982-Q1,Overtime (Forecast For Next Quarter),-11
1982-Q1,Output (Forecast For Next Quarter),17
1982-Q1,Total New Orders Received (Forecast For Next Quarter),12
1982-Q1,Domestic Orders (Forecast For Next Quarter),8
1982-Q1,Export Orders (Forecast For Next Quarter),4
1982-Q1,Deliveries In Singapore (Forecast For Next Quarter),9
1982-Q1,Deliveries Overseas (Forecast For Next Quarter),11
1982-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),-15
1982-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),-11
1982-Q1,Average Selling Prices (Forecast For Next Quarter),-11
1982-Q1,Investment On Buildings (Forecast - Next 12 Months),13
1982-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),15
1982-Q2,General Business Expectations (Forecast For Next 6 Months),4
1982-Q2,Numbers Employed (Forecast For Next Quarter),-2
1982-Q2,Overtime (Forecast For Next Quarter),-21
1982-Q2,Output (Forecast For Next Quarter),-4
1982-Q2,Total New Orders Received (Forecast For Next Quarter),-11
1982-Q2,Domestic Orders (Forecast For Next Quarter),-2
1982-Q2,Export Orders (Forecast For Next Quarter),-15
1982-Q2,Deliveries In Singapore (Forecast For Next Quarter),0
1982-Q2,Deliveries Overseas (Forecast For Next Quarter),-12
1982-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),-13
1982-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),-6
1982-Q2,Average Selling Prices (Forecast For Next Quarter),-12
1982-Q2,Investment On Buildings (Forecast - Next 12 Months),10
1982-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),14
1982-Q3,General Business Expectations (Forecast For Next 6 Months),-6
1982-Q3,Numbers Employed (Forecast For Next Quarter),-4
1982-Q3,Overtime (Forecast For Next Quarter),-17
1982-Q3,Output (Forecast For Next Quarter),6
1982-Q3,Total New Orders Received (Forecast For Next Quarter),-5
1982-Q3,Domestic Orders (Forecast For Next Quarter),-2
1982-Q3,Export Orders (Forecast For Next Quarter),-10
1982-Q3,Deliveries In Singapore (Forecast For Next Quarter),5
1982-Q3,Deliveries Overseas (Forecast For Next Quarter),-3
1982-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),-10
1982-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),-9
1982-Q3,Average Selling Prices (Forecast For Next Quarter),-21
1982-Q3,Investment On Buildings (Forecast - Next 12 Months),12
1982-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),16
1982-Q4,General Business Expectations (Forecast For Next 6 Months),0
1982-Q4,Numbers Employed (Forecast For Next Quarter),-13
1982-Q4,Overtime (Forecast For Next Quarter),-18
1982-Q4,Output (Forecast For Next Quarter),-12
1982-Q4,Total New Orders Received (Forecast For Next Quarter),-9
1982-Q4,Domestic Orders (Forecast For Next Quarter),-5
1982-Q4,Export Orders (Forecast For Next Quarter),-12
1982-Q4,Deliveries In Singapore (Forecast For Next Quarter),-2
1982-Q4,Deliveries Overseas (Forecast For Next Quarter),-12
1982-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),-13
1982-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),-11
1982-Q4,Average Selling Prices (Forecast For Next Quarter),-13
1982-Q4,Investment On Buildings (Forecast - Next 12 Months),4
1982-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),8
1983-Q1,General Business Expectations (Forecast For Next 6 Months),28
1983-Q1,Numbers Employed (Forecast For Next Quarter),12
1983-Q1,Overtime (Forecast For Next Quarter),-2
1983-Q1,Output (Forecast For Next Quarter),31
1983-Q1,Total New Orders Received (Forecast For Next Quarter),18
1983-Q1,Domestic Orders (Forecast For Next Quarter),13
1983-Q1,Export Orders (Forecast For Next Quarter),13
1983-Q1,Deliveries In Singapore (Forecast For Next Quarter),15
1983-Q1,Deliveries Overseas (Forecast For Next Quarter),17
1983-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),-3
1983-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),-1
1983-Q1,Average Selling Prices (Forecast For Next Quarter),-7
1983-Q1,Investment On Buildings (Forecast - Next 12 Months),7
1983-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),3
1983-Q2,General Business Expectations (Forecast For Next 6 Months),38
1983-Q2,Numbers Employed (Forecast For Next Quarter),17
1983-Q2,Overtime (Forecast For Next Quarter),6
1983-Q2,Output (Forecast For Next Quarter),31
1983-Q2,Total New Orders Received (Forecast For Next Quarter),29
1983-Q2,Domestic Orders (Forecast For Next Quarter),7
1983-Q2,Export Orders (Forecast For Next Quarter),26
1983-Q2,Deliveries In Singapore (Forecast For Next Quarter),12
1983-Q2,Deliveries Overseas (Forecast For Next Quarter),25
1983-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),0
1983-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),0
1983-Q2,Average Selling Prices (Forecast For Next Quarter),-5
1983-Q2,Investment On Buildings (Forecast - Next 12 Months),7
1983-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),15
1983-Q3,General Business Expectations (Forecast For Next 6 Months),33
1983-Q3,Numbers Employed (Forecast For Next Quarter),28
1983-Q3,Overtime (Forecast For Next Quarter),6
1983-Q3,Output (Forecast For Next Quarter),29
1983-Q3,Total New Orders Received (Forecast For Next Quarter),19
1983-Q3,Domestic Orders (Forecast For Next Quarter),8
1983-Q3,Export Orders (Forecast For Next Quarter),12
1983-Q3,Deliveries In Singapore (Forecast For Next Quarter),10
1983-Q3,Deliveries Overseas (Forecast For Next Quarter),18
1983-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),6
1983-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),-3
1983-Q3,Average Selling Prices (Forecast For Next Quarter),-5
1983-Q3,Investment On Buildings (Forecast - Next 12 Months),11
1983-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),26
1983-Q4,General Business Expectations (Forecast For Next 6 Months),34
1983-Q4,Numbers Employed (Forecast For Next Quarter),16
1983-Q4,Overtime (Forecast For Next Quarter),-7
1983-Q4,Output (Forecast For Next Quarter),10
1983-Q4,Total New Orders Received (Forecast For Next Quarter),15
1983-Q4,Domestic Orders (Forecast For Next Quarter),0
1983-Q4,Export Orders (Forecast For Next Quarter),15
1983-Q4,Deliveries In Singapore (Forecast For Next Quarter),4
1983-Q4,Deliveries Overseas (Forecast For Next Quarter),8
1983-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),-2
1983-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),-2
1983-Q4,Average Selling Prices (Forecast For Next Quarter),-9
1983-Q4,Investment On Buildings (Forecast - Next 12 Months),12
1983-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),30
1984-Q1,General Business Expectations (Forecast For Next 6 Months),42
1984-Q1,Numbers Employed (Forecast For Next Quarter),26
1984-Q1,Overtime (Forecast For Next Quarter),18
1984-Q1,Output (Forecast For Next Quarter),44
1984-Q1,Total New Orders Received (Forecast For Next Quarter),37
1984-Q1,Domestic Orders (Forecast For Next Quarter),12
1984-Q1,Export Orders (Forecast For Next Quarter),31
1984-Q1,Deliveries In Singapore (Forecast For Next Quarter),10
1984-Q1,Deliveries Overseas (Forecast For Next Quarter),31
1984-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),11
1984-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),1
1984-Q1,Average Selling Prices (Forecast For Next Quarter),-1
1984-Q1,Investment On Buildings (Forecast - Next 12 Months),15
1984-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),22
1984-Q2,General Business Expectations (Forecast For Next 6 Months),33
1984-Q2,Numbers Employed (Forecast For Next Quarter),20
1984-Q2,Overtime (Forecast For Next Quarter),8
1984-Q2,Output (Forecast For Next Quarter),39
1984-Q2,Total New Orders Received (Forecast For Next Quarter),32
1984-Q2,Domestic Orders (Forecast For Next Quarter),14
1984-Q2,Export Orders (Forecast For Next Quarter),24
1984-Q2,Deliveries In Singapore (Forecast For Next Quarter),14
1984-Q2,Deliveries Overseas (Forecast For Next Quarter),24
1984-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),7
1984-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),0
1984-Q2,Average Selling Prices (Forecast For Next Quarter),-7
1984-Q2,Investment On Buildings (Forecast - Next 12 Months),10
1984-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),25
1984-Q3,General Business Expectations (Forecast For Next 6 Months),4
1984-Q3,Numbers Employed (Forecast For Next Quarter),19
1984-Q3,Overtime (Forecast For Next Quarter),-4
1984-Q3,Output (Forecast For Next Quarter),7
1984-Q3,Total New Orders Received (Forecast For Next Quarter),8
1984-Q3,Domestic Orders (Forecast For Next Quarter),5
1984-Q3,Export Orders (Forecast For Next Quarter),3
1984-Q3,Deliveries In Singapore (Forecast For Next Quarter),5
1984-Q3,Deliveries Overseas (Forecast For Next Quarter),5
1984-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),-12
1984-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),-7
1984-Q3,Average Selling Prices (Forecast For Next Quarter),-14
1984-Q3,Investment On Buildings (Forecast - Next 12 Months),9
1984-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),17
1984-Q4,General Business Expectations (Forecast For Next 6 Months),-9
1984-Q4,Numbers Employed (Forecast For Next Quarter),-6
1984-Q4,Overtime (Forecast For Next Quarter),-29
1984-Q4,Output (Forecast For Next Quarter),-12
1984-Q4,Total New Orders Received (Forecast For Next Quarter),-18
1984-Q4,Domestic Orders (Forecast For Next Quarter),-13
1984-Q4,Export Orders (Forecast For Next Quarter),-14
1984-Q4,Deliveries In Singapore (Forecast For Next Quarter),-11
1984-Q4,Deliveries Overseas (Forecast For Next Quarter),-14
1984-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),-13
1984-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),-9
1984-Q4,Average Selling Prices (Forecast For Next Quarter),-9
1984-Q4,Investment On Buildings (Forecast - Next 12 Months),10
1984-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),19
1985-Q1,General Business Expectations (Forecast For Next 6 Months),-10
1985-Q1,Numbers Employed (Forecast For Next Quarter),1
1985-Q1,Overtime (Forecast For Next Quarter),-9
1985-Q1,Output (Forecast For Next Quarter),5
1985-Q1,Total New Orders Received (Forecast For Next Quarter),-6
1985-Q1,Domestic Orders (Forecast For Next Quarter),-7
1985-Q1,Export Orders (Forecast For Next Quarter),-2
1985-Q1,Deliveries In Singapore (Forecast For Next Quarter),-4
1985-Q1,Deliveries Overseas (Forecast For Next Quarter),0
1985-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),-7
1985-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),-5
1985-Q1,Average Selling Prices (Forecast For Next Quarter),-14
1985-Q1,Investment On Buildings (Forecast - Next 12 Months),9
1985-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),-2
1985-Q2,General Business Expectations (Forecast For Next 6 Months),-17
1985-Q2,Numbers Employed (Forecast For Next Quarter),-21
1985-Q2,Overtime (Forecast For Next Quarter),-28
1985-Q2,Output (Forecast For Next Quarter),-11
1985-Q2,Total New Orders Received (Forecast For Next Quarter),-19
1985-Q2,Domestic Orders (Forecast For Next Quarter),-14
1985-Q2,Export Orders (Forecast For Next Quarter),-15
1985-Q2,Deliveries In Singapore (Forecast For Next Quarter),-17
1985-Q2,Deliveries Overseas (Forecast For Next Quarter),-15
1985-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),-20
1985-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),-13
1985-Q2,Average Selling Prices (Forecast For Next Quarter),-25
1985-Q2,Investment On Buildings (Forecast - Next 12 Months),6
1985-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),-4
1985-Q3,General Business Expectations (Forecast For Next 6 Months),-23
1985-Q3,Numbers Employed (Forecast For Next Quarter),-20
1985-Q3,Overtime (Forecast For Next Quarter),-29
1985-Q3,Output (Forecast For Next Quarter),-22
1985-Q3,Total New Orders Received (Forecast For Next Quarter),-20
1985-Q3,Domestic Orders (Forecast For Next Quarter),-19
1985-Q3,Export Orders (Forecast For Next Quarter),-17
1985-Q3,Deliveries In Singapore (Forecast For Next Quarter),-24
1985-Q3,Deliveries Overseas (Forecast For Next Quarter),-19
1985-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),-23
1985-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),-20
1985-Q3,Average Selling Prices (Forecast For Next Quarter),-20
1985-Q3,Investment On Buildings (Forecast - Next 12 Months),1
1985-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),-2
1985-Q4,General Business Expectations (Forecast For Next 6 Months),-23
1985-Q4,Numbers Employed (Forecast For Next Quarter),-7
1985-Q4,Overtime (Forecast For Next Quarter),-30
1985-Q4,Output (Forecast For Next Quarter),-20
1985-Q4,Total New Orders Received (Forecast For Next Quarter),-21
1985-Q4,Domestic Orders (Forecast For Next Quarter),-20
1985-Q4,Export Orders (Forecast For Next Quarter),-15
1985-Q4,Deliveries In Singapore (Forecast For Next Quarter),-22
1985-Q4,Deliveries Overseas (Forecast For Next Quarter),-15
1985-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),-18
1985-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),-15
1985-Q4,Average Selling Prices (Forecast For Next Quarter),-25
1985-Q4,Investment On Buildings (Forecast - Next 12 Months),0
1985-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),-7
1986-Q1,General Business Expectations (Forecast For Next 6 Months),19
1986-Q1,Numbers Employed (Forecast For Next Quarter),12
1986-Q1,Overtime (Forecast For Next Quarter),-3
1986-Q1,Output (Forecast For Next Quarter),25
1986-Q1,Total New Orders Received (Forecast For Next Quarter),20
1986-Q1,Domestic Orders (Forecast For Next Quarter),-4
1986-Q1,Export Orders (Forecast For Next Quarter),24
1986-Q1,Deliveries In Singapore (Forecast For Next Quarter),-7
1986-Q1,Deliveries Overseas (Forecast For Next Quarter),26
1986-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),6
1986-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),3
1986-Q1,Average Selling Prices (Forecast For Next Quarter),-8
1986-Q1,Investment On Buildings (Forecast - Next 12 Months),4
1986-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),-3
1986-Q2,General Business Expectations (Forecast For Next 6 Months),19
1986-Q2,Numbers Employed (Forecast For Next Quarter),10
1986-Q2,Overtime (Forecast For Next Quarter),1
1986-Q2,Output (Forecast For Next Quarter),25
1986-Q2,Total New Orders Received (Forecast For Next Quarter),17
1986-Q2,Domestic Orders (Forecast For Next Quarter),2
1986-Q2,Export Orders (Forecast For Next Quarter),17
1986-Q2,Deliveries In Singapore (Forecast For Next Quarter),0
1986-Q2,Deliveries Overseas (Forecast For Next Quarter),20
